"Name", "Chinese", "ChineseTraditional", "English", "Japanese"
"Review_Count", "回顾条数", "回顧條數", "Review Count", "レビュー件数"
"Review_Scope", "回顾范围", "回顧範圍", "Review Scope", "レビュー範囲"
"Settings", "设置", "設定", "Settings", "設定"
"Start_Time", "开始时间", "開始時間", "Start Time", "開始時間"
"Time_Range", "时间范围", "時間範圍", "Time Range", "時間範囲"
"Title", "Title", "標題", "Title", "タイトル"
"To_ensure_daily_review_notifications_are_delivered__please_enable_flomo_s_notification_permissions_in_system_settings_", "为确保每日回顾正常推送，请前往系统设置开启 flomo 的通知权限。", "為確保每日回顧正常推送，請前往系統設置開啟 flomo 的通知權限。", "Enable flomo notifications in system settings to get your daily review.", "毎日のレビュープッシュ機能を有効にできません。通知権限を有効にするには、「設定」に移動してください"
"Unable_to_enable_daily_review_reminders__Go_to__Settings__to_enable_notification_permissions_", "无法启用每日回顾推送功能，前往「设置」 中打开通知权限", "無法啟用每日回顧推送功能，前往「設定」中開啟通知權限", "Unable to enable daily review push feature, go to 'Settings' to enable notification permission", "デイリーレビューリマインダー機能を有効にできません。「設定」で通知権限を有効にしてください"
"Undo", "撤销", "撤銷", "Undo", "元に戻す"
"Up_to_24_reviews_per_day__click_here_for_tutorial", "每日最多 24 条回顾，点此查看使用教程", "每日最多 24 條回顧，點此查看使用教程", "Up to 24 reviews per day, click here for tutorial", "1日最大24件のレビュー、チュートリアルはこちら"
"User_Guide", "使用指南", "使用指南", "User Guide", "使用ガイド"
"View_Related_Notes", "查看相关笔记", "查看相關筆記", "View Related Notes", "関連ノートを表示"
"Wechat_Reminder", "微信提醒", "微信提醒", "Wechat Reminder", "WeChatリマインダー"
"Widget", "小组件", "小組件", "Widget", "ウィジェット"
"You_will_receive_a_notification_approximately_every_4_minutes_____Too_frequent_notifications_may_disturb_you__it_is_recommended_to_extend_the_push_time_or_reduce_the_number_of_reviews_", "你将大约每 4 分钟收到一条推送。⚠️ 推送过于频繁可能会对你造成打扰，建议延长推送时间或减少回顾数量。", "你將大約每 4 分鐘收到一條推送。⚠️ 推送過於頻繁可能會對你造成打擾，建議延長推送時間或減少回顧數量。", "You will receive a notification approximately every 4 minutes. ⚠️ Too frequent notifications may disturb you, it is recommended to extend the push time or reduce the number of reviews.", "約 4 分ごとに通知を受け取ります。⚠️ プッシュの頻度が高すぎると邪魔になる場合がありますので、プッシュの時間を長くするか、リキャップの回数を減らすことをお勧めします。"
"You_will_receive_a_notification_approximately_every_90_minutes_", "你将大约每 90 分钟收到一条推送。", "你將大約每 90 分鐘收到一條推送。", "You will receive a push notification approximately every 90 minutes.", "約90分ごとに通知を受け取ります。"
